id,essential_workplaces_id,ont_category,ont_description,ont_item,naics_code,naics_title,entirely_essential,notes
220,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,1131,Timber tract operations,1,
221,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,1132,Forest nurseries and gathering of forest products,1,
222,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,1133,Logging,1,
223,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,2111,Oil and gas extraction,1,
224,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,2121,Coal mining,1,
225,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,2122,Metal ore mining,1,
226,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,2123,Non-metallic mineral mining and quarrying,1,
227,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,2131,"Support activities for mining, and oil and gas extraction	Support activities for mining, and oil and gas extraction",1,
228,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,3241,Petroleum and coal product manufacturing,1,
229,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,3251,Basic chemical manufacturing,1,
230,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,3252,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",1,
231,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,3253,"Pesticide, fertilizer and other agricultural chemical manufacturing",1,
232,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,3254,Pharmaceutical and medicine manufacturing,1,
233,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,3255,"Paint, coating and adhesive manufacturing",1,
234,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,3256,"Soap, cleaning compound and toilet preparation manufacturing",1,
235,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,3259,Other chemical product manufacturing,1,
236,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,4121,Petroleum and petroleum products merchant wholesalers,1,
237,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,4162,Metal service centres,1,
238,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,4163,"Lumber, millwork, hardware and other building supplies merchant wholesalers",1,
239,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,4184,Chemical (except agricultural) and allied product merchant wholesalers,1,
240,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,4189,Other miscellaneous merchant wholesalers,1,
241,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,4861,Pipeline transportation of crude oil,1,
242,55,Resources and energy,"32. Businesses that provide and ensure the domestic and global continuity of supply of resources, including mining, forestry, aggregates, petroleum, petroleum by-products and chemicals.",,4869,Other pipeline transportation,1,
243,56,Resources and energy,"33. Electricity generation, transmission, distribution and storage and natural gas distribution, transmission and storage.",,2211,"Electric power generation, transmission and distribution",1,
244,56,Resources and energy,"33. Electricity generation, transmission, distribution and storage and natural gas distribution, transmission and storage.",,2212,Natural gas distribution,1,
245,56,Resources and energy,"33. Electricity generation, transmission, distribution and storage and natural gas distribution, transmission and storage.",,4862,Pipeline transportation of natural gas,1,
246,57,Community services,34. Businesses that deliver or support the delivery of services including:,Sewage treatment and disposal.,2213,"Water, sewage and other systems",1,
247,58,Community services,34. Businesses that deliver or support the delivery of services including:,"Collecting, transporting, storing, processing, disposing or recycling of any type of waste.",5621,Waste collection,1,
248,58,Community services,34. Businesses that deliver or support the delivery of services including:,"Collecting, transporting, storing, processing, disposing or recycling of any type of waste.",5622,Waste treatment and disposal,1,
249,58,Community services,34. Businesses that deliver or support the delivery of services including:,"Collecting, transporting, storing, processing, disposing or recycling of any type of waste.",5629,Remediation and other waste management services,1,
250,59,Community services,34. Businesses that deliver or support the delivery of services including:,Potable drinking water.,2213,"Water, sewage and other systems",1,
251,60,Community services,34. Businesses that deliver or support the delivery of services including:,"Critical infrastructure repair and maintenance including roads, dams, bridges etc.",2373,"Highway, street and bridge construction",1,
252,61,Community services,34. Businesses that deliver or support the delivery of services including:,"Environmental rehabilitation, management and monitoring, and spill clean up and response.",5416,"Management, scientific and technical consulting services",0,includes environmental consulting services
253,61,Community services,34. Businesses that deliver or support the delivery of services including:,"Environmental rehabilitation, management and monitoring, and spill clean up and response.",5629,Remediation and other waste management services,1,
254,62,Community services,34. Businesses that deliver or support the delivery of services including:,Administrative authorities that regulate and inspect businesses.,9112,Federal protective services,1,
255,62,Community services,34. Businesses that deliver or support the delivery of services including:,Administrative authorities that regulate and inspect businesses.,9113,"Federal labour, employment and immigration services",1,labour relations
256,62,Community services,34. Businesses that deliver or support the delivery of services including:,Administrative authorities that regulate and inspect businesses.,9121,Provincial protective services,1,
257,62,Community services,34. Businesses that deliver or support the delivery of services including:,Administrative authorities that regulate and inspect businesses.,9122,"Provincial labour and employment services	Provincial labour and employment services",1,
258,62,Community services,34. Businesses that deliver or support the delivery of services including:,Administrative authorities that regulate and inspect businesses.,9131,Municipal protective services,1,
259,63,Community services,34. Businesses that deliver or support the delivery of services including:,Professional and social services that support the legal and justice system.,5411,Legal services,1,
260,64,Community services,34. Businesses that deliver or support the delivery of services including:,"Government services including but not limited to policing and law enforcement, fire and emergency services, paramedics, coroner and pathology services, corrections and court services, licences and permits.",6215,Medical and diagnostic laboratories,1,pathology
261,64,Community services,34. Businesses that deliver or support the delivery of services including:,"Government services including but not limited to policing and law enforcement, fire and emergency services, paramedics, coroner and pathology services, corrections and court services, licences and permits.",6219,Other ambulatory health care services,1,
262,64,Community services,	34. Businesses that deliver or support the delivery of services including:,"Government services including but not limited to policing and law enforcement, fire and emergency services, paramedics, coroner and pathology services, corrections and court services, licences and permits.",9121,Provincial protective services,1,
263,64,Community services,	34. Businesses that deliver or support the delivery of services including:,"Government services including but not limited to policing and law enforcement, fire and emergency services, paramedics, coroner and pathology services, corrections and court services, licences and permits.",9131,Municipal protective services,1,
264,65,Research,"35. Businesses and organizations that maintain research facilities and engage in research, including medical research and other research and development activities.",,5417,Scientific research and development services,1,
265,66,Health care and social services,36. Organizations and providers that deliver home care services or personal support services to seniors and persons with disabilities.,,6216,Home health care services,0,
266,67,Health care and social services,"37. Businesses that sell, rent or repair assistive/mobility/medical devices, aids and/or supplies.",,4461,Health and personal supply stores,0,includes medical supply stores
267,68,Health care and social services,"38. Regulated health professionals (urgent care only) including dentists, optometrists, chiropractic services, ophthalmologists, physical and occupational therapists and podiatrists.",,6211,Offices of physicians,0,
268,68,Health care and social services,"38. Regulated health professionals (urgent care only) including dentists, optometrists, chiropractic services, ophthalmologists, physical and occupational therapists and podiatrists.",,6212,Offices of dentists,0,
269,68,Health care and social services,"38. Regulated health professionals (urgent care only) including dentists, optometrists, chiropractic services, ophthalmologists, physical and occupational therapists and podiatrists.",,6213,Offices of other health practitioners,0,
270,68,Health care and social services,"38. Regulated health professionals (urgent care only) including dentists, optometrists, chiropractic services, ophthalmologists, physical and occupational therapists and podiatrists.",,6214,Out-patient care centres,0,
271,68,Health care and social services,"38. Regulated health professionals (urgent care only) including dentists, optometrists, chiropractic services, ophthalmologists, physical and occupational therapists and podiatrists.",,6219,Other ambulatory health care services,1,
272,69,Health care and social services,"39. Organizations that provide health care including retirement homes, hospitals, clinics, long-term care facilities, independent health facilities and mental health and addictions counselling supports.",,6221,General medical and surgical hospitals,1,
273,69,Health care and social services,"39. Organizations that provide health care including retirement homes, hospitals, clinics, long-term care facilities, independent health facilities and mental health and addictions counselling supports.",,6222,Psychiatric and substance abuse hospitals,1,
274,69,Health care and social services,"39. Organizations that provide health care including retirement homes, hospitals, clinics, long-term care facilities, independent health facilities and mental health and addictions counselling supports.",,6223,Specialty (except psychiatric and substance abuse) hospitals,1,
275,69,Health care and social services,"39. Organizations that provide health care including retirement homes, hospitals, clinics, long-term care facilities, independent health facilities and mental health and addictions counselling supports.",,6231,Nursing care facilities,1,
276,69,Health care and social services,"39. Organizations that provide health care including retirement homes, hospitals, clinics, long-term care facilities, independent health facilities and mental health and addictions counselling supports.",,6232,"Residential developmental handicap, mental health and substance abuse facilities",1,
277,69,Health care and social services,"39. Organizations that provide health care including retirement homes, hospitals, clinics, long-term care facilities, independent health facilities and mental health and addictions counselling supports.",,6233,Community care facilities for the elderly,1,
278,69,Health care and social services,"39. Organizations that provide health care including retirement homes, hospitals, clinics, long-term care facilities, independent health facilities and mental health and addictions counselling supports.",,6239,Other residential care facilities,1,
279,70,Health care and social services,40. Laboratories and specimen collection centres.,,6215,Medical and diagnostic laboratories,1,
280,71,Health care and social services,"41. Manufacturers, wholesalers, distributors and retailers of pharmaceutical products and medical supplies, including medications, medical isotopes, vaccines and antivirals, medical devices and medical supplies.",,3254,Pharmaceutical and medicine manufacturing,1,
281,71,Health care and social services,"41. Manufacturers, wholesalers, distributors and retailers of pharmaceutical products and medical supplies, including medications, medical isotopes, vaccines and antivirals, medical devices and medical supplies.",,4145,"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers",0,
282,71,Health care and social services,"41. Manufacturers, wholesalers, distributors and retailers of pharmaceutical products and medical supplies, including medications, medical isotopes, vaccines and antivirals, medical devices and medical supplies.",,4461,Health and personal care stores,0,
283,72,Health care and social services,"42. Manufacturers, distributors and businesses that provide logistical support of or for products and/or services that support the delivery of health care in all locations.",,3391,Medical equipment and supplies manufacturing,1,
284,72,Health care and social services,"42. Manufacturers, distributors and businesses that provide logistical support of or for products and/or services that support the delivery of health care in all locations.",,4179,"Other machinery, equipment and supplies merchant wholesalers",1,includes medical equipment wholeslaers
285,73,Health care and social services,43. Not-for-profit organizations that provide critical personal support services in home or residential services for individuals with physical disabilities.,,6241,Individual and family services,0,includes Services for the elderly and persons with disabilities
286,74,Health care and social services,"44. Not-for profit organizations that support the provision of food, shelter, safety or protection, and/or social services and other necessities of life to economically disadvantaged and other vulnerable individuals.",,6242,"Community food and housing, and emergency and other relief services",1,
287,75,Not on Ontario's April 3 list of essential workplaces,Aboriginal public administration,,9141,Aboriginal public administration,1,not explicitly on Ontario's list
288,75,Not on Ontario's April 3 list of essential workplaces,Federal public administration,,9111,Defence services,1,not explicitly on Ontario's list
289,75,Not on Ontario's April 3 list of essential workplaces,Federal public administration,,9114,Foreign affairs and international assistance,1,not explicitly on Ontario's list
290,75,Not on Ontario's April 3 list of essential workplaces,Federal public administration,,9119,Other federal government public administration,1,not explicitly on Ontario's list
291,75,Not on Ontario's April 3 list of essential workplaces,Municipal public administration,,9139,"Other local, municipal and regional public administration",1,not explicitly on Ontario's list
292,75,Not on Ontario's April 3 list of essential workplaces,Provincial public administration,,9129,Other provincial and territorial public administration,1,
